si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
paraan 	  paraan 	  _ 	  _ 	  _ 	  _ 	NOUN
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
matuto 	  tuto 	  ma 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pagkatuto 	  tuto 	  pagka 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ipinalagay 	  lagay 	  ipa 	  in 	  _ 	  _ 	VERB
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
kawalan 	  wal 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pagsisikap 	  sikap 	  pag 	  _ 	  _ 	  si 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
sarili 	  sarili 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
di 	  di 	  _ 	  _ 	  _ 	  _ 	ADVERB
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kawalan 	  wal 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
talino 	  talino 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pagbabago 	  bago 	  pag 	  _ 	  _ 	  ba 	NOUN
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
naging 	  naging 	  _ 	  _ 	  _ 	  _ 	VERB
praktikal 	  praktikal 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
simula 	  simula 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

marami 	  dami 	  ma 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lumiban 	  liban 	  _ 	  um 	  _ 	  _ 	VERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	CONJ
sabay-sabay 	  sabay-sabay 	  _ 	  _ 	  _ 	  _ 	ADVERB
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
ipinagpatuloy 	  patuloy 	  ipag 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

unti-unting 	  unti-unti 	  _ 	  _ 	  ng 	  _ 	ADVERB
sumigla 	  sigla 	  _ 	  um 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
dumami 	  dami 	  _ 	  um 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pumasok 	  pasok 	  _ 	  um 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
araw 	  araw 	  _ 	  _ 	  _ 	  _ 	NOUN
nabalita 	  balita 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
buong 	  buong 	  _ 	  _ 	  _ 	  _ 	ADJ
bayan 	  bayan 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
namamalo 	  palo 	  na 	  _ 	  _ 	  ma 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ipinatawag 	  tawag 	  ipa 	  in 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kura 	  kura 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
binati 	  bati 	  _ 	  in 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
wikang 	  wika 	  _ 	  _ 	  ng 	  _ 	NOUN
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
ayaw 	  ayaw 	  _ 	  _ 	  _ 	  _ 	ADVERB
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
maulit 	  ulit 	  ma 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
unang 	  unang 	  _ 	  _ 	  _ 	  _ 	CONJ
nangyari 	  nangyari 	  _ 	  _ 	  _ 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
nagsasayang 	  saya 	  nag 	  _ 	  ng 	  sa 	VERB
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
oras 	  oras 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
kailangang 	  kailangan 	  _ 	  _ 	  g 	  _ 	AUX
gumamit 	  gamit 	  _ 	  um 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pamalo 	  palo 	  pam 	  _ 	  _ 	  _ 	NOUN
tulad 	  tulad 	  _ 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
amang 	  amang 	  _ 	  _ 	  _ 	  _ 	NOUN
kapag 	  kapag 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
namamalo 	  palo 	  na 	  _ 	  _ 	  ma 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nagpapabaya 	  pabaya 	  nagpa 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
gagawin 	  gawa 	  _ 	  _ 	  in 	  ga 	VERB
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
isusumbong 	  sumbong 	  i 	  _ 	  _ 	  su 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
alkalde 	  alkalde 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
natapos 	  tapos 	  na 	  _ 	  _ 	  _ 	VERB
dito 	  dito 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
reklamo 	  reklamo 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

makalipas 	  lipas 	  maka 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
araw 	  araw 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
dumating 	  dating 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
paaralan 	  paaralan 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
magulang 	  magulang 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
aking 	  aking 	  _ 	  _ 	  _ 	  _ 	DET
tinuturuan 	  turo 	  _ 	  in 	  an 	  tu 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

pinuri 	  puri 	  _ 	  in 	  _ 	  _ 	VERB
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
unang 	  unang 	  _ 	  _ 	  _ 	  _ 	CONJ
guro 	  guro 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
namamalo 	  palo 	  na 	  _ 	  _ 	  ma 	VERB
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
raw 	  raw 	  _ 	  _ 	  _ 	  _ 	PART
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
' 	  ' 	  _ 	  _ 	  _ 	  _ 	SYM
nakapagtutuwid 	  tuwid 	  nakapag 	  _ 	  _ 	  tu 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
sangang 	  ang 	  sang 	  _ 	  _ 	  _ 	NOUN
baluktot 	  baluktot 	  _ 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

' 	  ' 	  _ 	  _ 	  _ 	  _ 	SYM
binantaan 	  banta 	  _ 	  in 	  an 	  _ 	VERB
nila 	  nila 	  _ 	  _ 	  _ 	  _ 	PRON
akong 	  akong 	  _ 	  _ 	  _ 	  _ 	PRON
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
papapasukin 	  pasok 	  pa 	  _ 	  in 	  pa 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
matututuhan 	  tuto 	  ma 	  _ 	  han 	  tu 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
nilang 	  nilang 	  _ 	  _ 	  _ 	  _ 	PRON
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
matututo 	  tuto 	  ma 	  _ 	  _ 	  tu 	VERB
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
namalo 	  palo 	  na 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
guro 	  guro 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
inalis 	  alis 	  in 	  _ 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamamaraang 	  paraan 	  pa 	  _ 	g 	ma 	NOUN
sana 	  sana 	  _ 	  _ 	  _ 	  _ 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
magkakabunga 	  bunga 	  magka 	  _ 	  _ 	  ka 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mabuti 	  buti 	  ma 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

gumamit 	  gamit 	  _ 	  um 	  _ 	  _ 	VERB
muli 	  muli 	  _ 	  _ 	  _ 	  _ 	ADVERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pamalo 	  palo 	  pam 	  _ 	  _ 	  _ 	NOUN
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
naglaho 	  laho 	  nag 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katahimikan 	  tahimik 	  ka 	  _ 	  an 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nakita 	  kita 	  na 	  _ 	  _ 	  _ 	VERB
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
muli 	  muli 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kalungkutan 	  lungkot 	  ka 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mukha 	  mukha 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
batang 	  bata 	  _ 	  _ 	  ng 	  _ 	NOUN
nagmahal 	  mahal 	  nag 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinikap 	  sikap 	  _ 	  in 	  _ 	  _ 	VERB
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
dalangan 	  dalang 	  _ 	  _ 	  an 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamamalo 	  palo 	  pa 	  _ 	  _ 	  ma 	NOUN
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
nagdaramdam 	  daramdam 	  nag 	  _ 	  _ 	  _ 	VERB
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
napapahiya 	  hiya 	  napa 	  _ 	  _ 	  pa 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
umiiyak 	  iyak 	  um 	  _ 	  _ 	  i 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
hinanakit 	  hinanakit 	  _ 	  _ 	  _ 	  _ 	NOUN
man 	  man 	  _ 	  _ 	  _ 	  _ 	PART
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
magulang 	  magulang 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
di 	  di 	  _ 	  _ 	  _ 	  _ 	ADVERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
magantihan 	  anti 	  mag 	  _ 	  han 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
batang 	  bata 	  _ 	  _ 	  ng 	  _ 	NOUN
biktima 	  biktima 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
maling 	  mali 	  _ 	  _ 	  ng 	  _ 	ADJ
pamamaraan 	paraan 	pa 	_ 	_ 	ma 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
nakakapagpasikip 	  sikip 	  nakakapagpa 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
dibdib 	  dibdib 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
luha 	  luha 	  _ 	  _ 	  _ 	  _ 	NOUN
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
umuwi 	  uwi 	  um 	  _ 	  _ 	  _ 	VERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	CONJ
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
oras 	  oras 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
umiiyak 	  iyak 	  um 	  _ 	  _ 	  i 	VERB
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sinabi 	  sabi 	  _ 	  in 	  _ 	  _ 	VERB
nga 	  nga 	  _ 	  _ 	  _ 	  _ 	PART
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
don 	  don 	  _ 	  _ 	  _ 	  _ 	PROPN
anastacio 	  anastacio 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
' 	  ' 	  _ 	  _ 	  _ 	  _ 	SYM
magulang 	  magulang 	  _ 	  _ 	  _ 	  _ 	NOUN
pala 	  pala 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
humihingi 	  hingi 	  _ 	  um 	  _ 	  hi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pamalo 	  palo 	  pam 	  _ 	  _ 	  _ 	NOUN
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

bakit 	  bakit 	  _ 	  _ 	  _ 	  _ 	PRON
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
mo 	  mo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanila 	  kanila 	  _ 	  _ 	  _ 	  _ 	DET
iyon 	  iyon 	  _ 	  _ 	  _ 	  _ 	PRON
ginamit 	  gamit 	  _ 	  in 	  _ 	  _ 	VERB
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

' 	  ' 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
nakikinig 	  kinig 	  na 	  _ 	  _ 	  ki 	VERB
habang 	  habang 	  _ 	  _ 	  _ 	  _ 	SCONJ
nag-iisip 	  isip 	  nag 	  _ 	  _ 	  i 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
ibarra 	  ibarra 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
pagkagaling 	  galing 	  pagka 	  _ 	  _ 	  _ 	ADVERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
sakit 	  sakit 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
bumalik 	  balik 	  _ 	  um 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
paaralan 	  paaralan 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ikalimang 	  lima 	  ika 	  _ 	  ng 	  _ 	CONJ
bahagi 	  bahagi 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
dating 	  dati 	  _ 	  _ 	  ng 	  _ 	ADJ
mag-aaral 	  aral 	  mag 	  _ 	  _ 	  a 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
aking 	  aking 	  _ 	  _ 	  _ 	  _ 	DET
dinatnan 	  dating 	  _ 	  in 	  an 	  _ 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

huminto 	  hinto 	  _ 	  um 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
matatalinong 	  talino 	  ma 	  _ 	  ng 	  ta 	ADJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ayon 	  ayon 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dating 	  dati 	  _ 	  _ 	  ng 	  _ 	ADJ
pamamaraan 	paraan 	pa 	_ 	_ 	ma 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
natira 	  tira 	  na 	  _ 	  _ 	  _ 	VERB
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
yaong 	  yaong 	  _ 	  _ 	  _ 	  _ 	PRON
ayaw 	  ayaw 	  _ 	  _ 	  _ 	  _ 	ADVERB
gumawa 	  gawa 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kani-kanilang 	  kani-kanila 	  _ 	  _ 	  ng 	  _ 	CONJ
bahay 	  bahay 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
nakitaan 	  kita 	  na 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pananabik 	  sabik 	  panana 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
kasiyahan 	  siya 	  ka 	  _ 	  han 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
mag-aaral 	  aral 	  mag 	  _ 	  _ 	  a 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
aking 	  aking 	  _ 	  _ 	  _ 	  _ 	DET
pagbabalik 	  balik 	  pag 	  _ 	  _ 	  ba 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

marahil 	  marahil 	  _ 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nais 	  nais 	  _ 	  _ 	  _ 	  _ 	AUX
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
nilang 	  nilang 	  _ 	  _ 	  _ 	  _ 	PRON
maysakit 	  sakit 	  may 	  _ 	  _ 	  _ 	NOUN
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ibang 	  ibang 	  _ 	  _ 	  _ 	  _ 	ADJ
mag-aaral 	  aral 	  mag 	  _ 	  _ 	  a 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
naglilimayon 	  limayon 	  nag 	  _ 	  _ 	  li 	VERB
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
sinisi 	  sisi 	  _ 	  in 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ng 	ng 	_ 	_ 	_ 	_ 	ADP
magulang 	  magulang 	  _ 	  _ 	  _ 	  _ 	NOUN
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
pinalayaw 	  layaw 	  pa 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
raw 	  raw 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
